file_size,entropy,suspicious_extension,yara_match_count,threat_intelligence_score,label
1868825,2.15,1,1,0.223,1
1720583,6.06,0,4,0.422,0
500914,2.562,0,4,0.602,0
9417129,3.193,1,1,0.449,1
4668265,6.857,0,1,0.698,0
5709456,3.667,0,2,0.102,0
6375122,2.58,1,4,0.265,1
729977,6.378,0,3,0.079,0
4919715,6.976,1,4,0.192,1
1167941,2.275,0,2,0.985,1
3906582,7.199,1,2,0.453,1
6121868,2.976,1,1,0.67,1
1198935,5.655,0,4,0.729,1
2742438,4.774,1,4,0.22,1
5441561,7.057,0,1,0.822,1
5293423,4.407,0,1,0.913,1
9516702,7.258,1,1,0.655,1
6638601,7.308,1,1,0.265,1
4138722,6.47,1,4,0.428,1
9791057,4.396,0,1,0.51,0
1526206,6.535,0,1,0.627,0
7083668,5.578,1,3,0.596,1
7853574,5.175,0,0,0.682,0
9009867,6.505,1,0,0.294,0
2654446,4.722,1,4,0.762,1
8518485,7.476,1,4,0.609,1
2565217,4.243,0,4,0.953,1
8898858,7.511,1,3,0.019,1
6090806,7.272,1,1,0.058,1
9519669,7.682,0,3,0.816,1
8938326,6.595,0,3,0.947,1
2771370,3.59,1,1,0.929,1
3375754,6.278,1,2,0.438,1
8684481,4.709,0,1,0.064,0
353896,5.53,0,4,0.22,0
1192066,6.247,0,1,0.067,0
528021,7.158,0,4,0.238,1
8144903,3.285,0,4,0.576,0
4077817,6.708,1,1,0.094,1
7232838,4.126,1,3,0.864,1
909841,6.04,0,0,0.403,0
5693553,6.804,0,1,0.192,0
8998381,4.692,1,1,0.279,1
4192056,7.247,0,3,0.808,1
9233926,2.587,0,0,0.926,0
3966789,2.998,1,3,0.214,1
6729339,7.415,0,3,0.002,1
6551190,3.591,1,2,0.423,1
9325245,5.971,1,1,0.19,1
3653414,7.812,0,2,0.057,1
9801873,4.861,0,0,0.961,0
1345047,7.108,0,4,0.068,1
3947066,4.423,0,4,0.595,0
1376453,4.515,1,2,0.204,1
5272130,3.432,1,1,0.672,1
5034115,4.743,0,0,0.458,0
9446465,7.977,0,4,0.213,1
4450324,2.795,1,0,0.879,1
6200635,3.71,1,4,0.704,1
8875152,2.047,1,0,0.939,1
2254031,3.587,0,4,0.155,0
4728085,5.629,1,1,0.687,1
4429914,5.032,1,0,0.092,0
7107422,6.976,0,0,0.334,0
2195789,5.823,1,1,0.741,1
9256661,6.234,0,0,0.075,0
2501715,5.274,1,4,0.553,1
7211624,2.765,1,2,0.899,1
670324,7.394,0,1,0.667,1
5934742,6.681,1,4,0.749,1
3972793,7.188,0,3,0.025,1
5574147,6.694,1,1,0.267,1
1814543,4.295,0,3,0.222,0
7723606,4.098,0,1,0.024,0
3241180,4.391,1,0,0.967,1
4683940,4.107,1,4,0.331,1
464060,2.692,1,1,0.581,1
4454786,2.23,1,2,0.729,1
5263632,4.618,0,3,0.9,1
3189992,3.528,1,0,0.52,0
9034725,6.121,0,2,0.431,0
5540837,5.739,0,2,0.507,0
6852696,3.957,1,4,0.127,1
7054918,5.99,1,1,0.616,1
5050101,4.436,0,2,0.287,0
7213326,6.715,1,3,0.442,1
3586314,5.067,0,0,0.284,0
5624525,2.56,0,2,0.225,0
3341845,2.884,0,1,0.984,1
1222854,4.732,0,3,0.494,0
4094379,2.885,0,0,0.778,0
3672545,3.055,1,0,0.557,0
2037059,4.739,1,4,0.988,1
9991032,3.904,1,4,0.815,1
8469772,4.56,1,1,0.744,1
7964715,4.7,0,2,0.766,1
8746959,4.908,0,2,0.44,0
4794722,3.407,1,2,0.893,1
1352868,2.83,0,3,0.694,0
3590533,2.385,1,2,0.543,1
6976534,2.374,1,3,0.905,1
9800226,7.676,0,4,0.38,1
99919,7.656,1,3,0.853,1
7031010,5.229,0,3,0.219,0
7313114,4.914,1,2,0.669,1
6784308,6.345,1,1,0.981,1
8962107,2.162,1,4,0.564,1
455696,2.504,1,1,0.867,1
3049907,2.302,1,2,0.212,1
5484562,4.025,1,2,0.752,1
7073684,3.514,0,3,0.019,0
9050949,2.313,1,1,0.65,1
676419,6.525,0,1,0.839,1
2557551,3.431,1,0,0.564,0
3657838,4.79,1,2,0.168,1
1922542,6.667,0,2,0.108,0
431812,7.573,1,3,0.941,1
3328421,2.456,0,0,0.697,0
5060717,7.102,0,4,0.783,1
5826112,5.196,1,0,0.506,0
5725909,2.076,1,3,0.106,1
6077506,5.814,1,1,0.435,1
8754457,7.793,1,4,0.808,1
9030043,6.648,1,3,0.826,1
9941074,3.61,0,0,0.279,0
7564202,3.463,1,4,0.61,1
6359385,4.018,1,2,0.182,1
3559780,4.129,1,2,0.28,1
4636017,5.335,0,0,0.241,0
6819732,4.931,0,3,0.646,0
8235615,4.689,0,0,0.294,0
6785725,6.151,1,4,0.369,1
9286735,5.186,1,4,0.331,1
7613582,3.625,1,1,0.121,1
3232028,3.893,0,1,0.216,0
8124504,3.659,1,0,0.833,1
4971190,3.365,0,2,0.014,0
8962299,2.759,0,0,0.553,0
2119618,5.827,1,0,0.873,1
9632199,3.706,1,3,0.341,1
862958,3.515,1,0,0.822,1
6723755,4.95,0,1,0.149,0
9443881,7.695,0,1,0.118,1
6983241,5.638,0,4,0.38,0
7428625,3.784,1,2,0.569,1
1011496,5.658,0,1,0.626,0
